"selectedUser","currentDate","symbol","coinHoldingQty","coinHoldingValue"
"anbessa100","2017-05-06","eqt",0,0
"anbessa100","2017-05-06","seq",0,0
"anbessa100","2017-05-06","ptoy",0,0
"anbessa100","2017-05-06","rain",0,0
"anbessa100","2017-05-06","strat",0,0
"anbessa100","2017-05-06","edg",0,0
"anbessa100","2017-05-06","xvg",0,0
"anbessa100","2017-05-06","mer",0,0
"anbessa100","2017-05-06","xby",0,0
"anbessa100","2017-05-06","insn",0,0
"anbessa100","2017-05-06","crea",0,0
"anbessa100","2017-05-06","zec",0,0
"anbessa100","2017-05-06","wings",0,0
"anbessa100","2017-05-06","lbc",0,0
"anbessa100","2017-05-06","qtum",0,0
"anbessa100","2017-05-06","xel",0,0
"anbessa100","2017-05-06","waves",0,0
"anbessa100","2017-05-06","ant",0,0
"anbessa100","2017-05-06","bay",0,0
"anbessa100","2017-05-06","dct",0,0
"anbessa100","2017-05-06","nmr",0,0
"anbessa100","2017-05-06","xcp",0,0
"anbessa100","2017-05-06","bitb",0,0
"anbessa100","2017-05-06","nxc",0,0
"anbessa100","2017-05-06","cfi",0,0
"anbessa100","2017-05-06","cvc",0,0
"anbessa100","2017-05-06","dgb",0,0
"anbessa100","2017-05-06","pay",0,0
"anbessa100","2017-05-06","qrl",0,0
"anbessa100","2017-05-06","steem",0,0
"anbessa100","2017-05-06","omg",0,0
"anbessa100","2017-05-06","msp",0,0
"anbessa100","2017-05-06","gbyte",0,0
"anbessa100","2017-05-06","sky",0,0
"anbessa100","2017-05-06","sngls",0,0
"anbessa100","2017-05-06","trst",0,0
"anbessa100","2017-05-06","tit",0,0
"anbessa100","2017-05-06","nebl",0,0
"anbessa100","2017-05-06","xzc",0,0
"anbessa100","2017-05-06","mtl",0,0
"anbessa100","2017-05-06","adx",0,0
"anbessa100","2017-05-06","powr",0,0
"anbessa100","2017-05-06","bch",0,0
"anbessa100","2017-05-06","qwark",0,0
"anbessa100","2017-05-06","orme",0,0
"anbessa100","2017-05-06","link",0,0
"anbessa100","2017-05-06","appc",0,0
"anbessa100","2017-05-06","brd",0,0
"anbessa100","2017-05-06","eth",0,0
"anbessa100","2017-05-06","ost",0,0
"anbessa100","2017-05-06","pot",0,0
"anbessa100","2017-05-06","sphtx",0,0
"anbessa100","2017-05-07","nxt",30418.9356657762,1327.39109564748
"anbessa100","2017-05-07","posw",0,0
"anbessa100","2017-05-07","mue",0,0
"anbessa100","2017-05-07","ark",0,0
"anbessa100","2017-05-07","etc",0,0
"anbessa100","2017-05-07","btc",0,0
"anbessa100","2017-05-07","sc",0,0
"anbessa100","2017-05-07","tkn",0,0
"anbessa100","2017-05-07","atms",0,0
"anbessa100","2017-05-07","neo",0,0
"anbessa100","2017-05-07","emd",0,0
"anbessa100","2017-05-07","netko",0,0
"anbessa100","2017-05-07","pivx",0,0
"anbessa100","2017-05-07","eqt",0,0
"anbessa100","2017-05-07","seq",0,0
"anbessa100","2017-05-07","ptoy",0,0
"anbessa100","2017-05-07","rain",0,0
"anbessa100","2017-05-07","strat",0,0
"anbessa100","2017-05-07","edg",0,0
"anbessa100","2017-05-07","xvg",0,0
"anbessa100","2017-05-07","mer",0,0
"anbessa100","2017-05-07","xby",0,0
"anbessa100","2017-05-07","insn",0,0
"anbessa100","2017-05-07","crea",0,0
"anbessa100","2017-05-07","zec",0,0
"anbessa100","2017-05-07","wings",0,0
"anbessa100","2017-05-07","lbc",0,0
"anbessa100","2017-05-07","qtum",0,0
"anbessa100","2017-05-07","xel",0,0
"anbessa100","2017-05-07","waves",0,0
"anbessa100","2017-05-07","ant",0,0
"anbessa100","2017-05-07","bay",0,0
"anbessa100","2017-05-07","dct",0,0
"anbessa100","2017-05-07","nmr",0,0
"anbessa100","2017-05-07","xcp",0,0
"anbessa100","2017-05-07","bitb",0,0
"anbessa100","2017-05-07","nxc",0,0
"anbessa100","2017-05-07","cfi",0,0
"anbessa100","2017-05-07","cvc",0,0
"anbessa100","2017-05-07","dgb",0,0
"anbessa100","2017-05-07","pay",0,0
"anbessa100","2017-05-07","qrl",0,0
"anbessa100","2017-05-07","steem",0,0
"anbessa100","2017-05-07","omg",0,0
"anbessa100","2017-05-07","msp",0,0
"anbessa100","2017-05-07","gbyte",0,0
"anbessa100","2017-05-07","sky",0,0
"anbessa100","2017-05-07","sngls",0,0
"anbessa100","2017-05-07","trst",0,0
"anbessa100","2017-05-07","tit",0,0
"anbessa100","2017-05-07","nebl",0,0
"anbessa100","2017-05-07","xzc",0,0
"anbessa100","2017-05-07","mtl",0,0
"anbessa100","2017-05-07","adx",0,0
"anbessa100","2017-05-07","powr",0,0
"anbessa100","2017-05-07","bch",0,0
"anbessa100","2017-05-07","qwark",0,0
"anbessa100","2017-05-07","orme",0,0
"anbessa100","2017-05-07","link",0,0
"anbessa100","2017-05-07","appc",0,0
"anbessa100","2017-05-07","brd",0,0
"anbessa100","2017-05-07","eth",0,0
"anbessa100","2017-05-07","ost",0,0
"anbessa100","2017-05-07","pot",0,0
"anbessa100","2017-05-07","sphtx",0,0
"anbessa100","2017-05-08","nxt",30418.9356657762,1503.48631421665
"anbessa100","2017-05-08","posw",0,0
"anbessa100","2017-05-08","mue",0,0
"anbessa100","2017-05-08","ark",0,0
"anbessa100","2017-05-08","etc",0,0
"anbessa100","2017-05-08","btc",0,0
"anbessa100","2017-05-08","sc",0,0
"anbessa100","2017-05-08","tkn",0,0
"anbessa100","2017-05-08","atms",0,0
"anbessa100","2017-05-08","neo",0,0
"anbessa100","2017-05-08","emd",0,0
"anbessa100","2017-05-08","netko",0,0
"anbessa100","2017-05-08","pivx",0,0
"anbessa100","2017-05-08","eqt",0,0
"anbessa100","2017-05-08","seq",0,0
"anbessa100","2017-05-08","ptoy",0,0
"anbessa100","2017-05-08","rain",0,0
"anbessa100","2017-05-08","strat",0,0
"anbessa100","2017-05-08","edg",0,0
"anbessa100","2017-05-08","xvg",0,0
"anbessa100","2017-05-08","mer",0,0
"anbessa100","2017-05-08","xby",0,0
"anbessa100","2017-05-08","insn",0,0
"anbessa100","2017-05-08","crea",0,0
"anbessa100","2017-05-08","zec",0,0
"anbessa100","2017-05-08","wings",0,0
"anbessa100","2017-05-08","lbc",0,0
"anbessa100","2017-05-08","qtum",0,0
"anbessa100","2017-05-08","xel",0,0
"anbessa100","2017-05-08","waves",0,0
"anbessa100","2017-05-08","ant",0,0
"anbessa100","2017-05-08","bay",0,0
"anbessa100","2017-05-08","dct",0,0
"anbessa100","2017-05-08","nmr",0,0
"anbessa100","2017-05-08","xcp",0,0
"anbessa100","2017-05-08","bitb",0,0
"anbessa100","2017-05-08","nxc",0,0
"anbessa100","2017-05-08","cfi",0,0
"anbessa100","2017-05-08","cvc",0,0
"anbessa100","2017-05-08","dgb",0,0
"anbessa100","2017-05-08","pay",0,0
"anbessa100","2017-05-08","qrl",0,0
"anbessa100","2017-05-08","steem",0,0
"anbessa100","2017-05-08","omg",0,0
"anbessa100","2017-05-08","msp",0,0
"anbessa100","2017-05-08","gbyte",0,0
"anbessa100","2017-05-08","sky",0,0
"anbessa100","2017-05-08","sngls",0,0
"anbessa100","2017-05-08","trst",0,0
"anbessa100","2017-05-08","tit",0,0
"anbessa100","2017-05-08","nebl",0,0
"anbessa100","2017-05-08","xzc",0,0
"anbessa100","2017-05-08","mtl",0,0
"anbessa100","2017-05-08","adx",0,0
"anbessa100","2017-05-08","powr",0,0
"anbessa100","2017-05-08","bch",0,0
